t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
2.180000000000000000e+02	5.148850000000000000e+04	8.816666666666667140e+01	1.607916666666666572e+02	4.930791666666666970e+03	3.905037500000000000e+04	1.975000000000000000e+01	2.967083333333333144e+02	3.964916666666666515e+03	1.918625000000000000e+03	1.420833333333333393e+01	6.712500000000000000e+01	4.150000000000000000e+01	1.495833333333333393e+01	5.375000000000000000e+01	5.666970833333333576e+04	3.548583333333333485e+03
2.190000000000000000e+02	5.146075000000000000e+04	8.895833333333332860e+01	1.602083333333333428e+02	4.944333333333333030e+03	3.904150000000000000e+04	2.025000000000000000e+01	2.957500000000000000e+02	3.988250000000000000e+03	1.918166666666666742e+03	1.350000000000000000e+01	6.712500000000000000e+01	4.258333333333333570e+01	1.500000000000000000e+01	5.504166666666666430e+01	5.692037500000000000e+04	3.550041666666666515e+03
2.200000000000000000e+02	5.143237500000000000e+04	8.658333333333332860e+01	1.596666666666666572e+02	4.965208333333333030e+03	3.903487500000000000e+04	2.087500000000000000e+01	2.960416666666666856e+02	4.004375000000000000e+03	1.917000000000000000e+03	1.383333333333333393e+01	6.512500000000000000e+01	4.470833333333333570e+01	1.483333333333333393e+01	5.275000000000000000e+01	5.716608333333333576e+04	3.550708333333333485e+03
2.210000000000000000e+02	5.142520833333333576e+04	8.841666666666667140e+01	1.570000000000000000e+02	4.980583333333333030e+03	3.900579166666666424e+04	2.091666666666666785e+01	2.935833333333333144e+02	4.028500000000000000e+03	1.913583333333333258e+03	1.266666666666666607e+01	6.525000000000000000e+01	4.304166666666666430e+01	1.533333333333333393e+01	5.600000000000000000e+01	5.741120833333333576e+04	3.544166666666666515e+03
2.220000000000000000e+02	5.140929166666666424e+04	8.866666666666667140e+01	1.556666666666666572e+02	5.001833333333333030e+03	3.898600000000000000e+04	2.087500000000000000e+01	2.938333333333333144e+02	4.043833333333333485e+03	1.917791666666666742e+03	1.325000000000000000e+01	6.504166666666667140e+01	4.350000000000000000e+01	1.350000000000000000e+01	5.325000000000000000e+01	5.765845833333333576e+04	3.543333333333333485e+03
2.230000000000000000e+02	5.140570833333333576e+04	9.204166666666667140e+01	1.545833333333333428e+02	5.021250000000000000e+03	3.895133333333333576e+04	2.062500000000000000e+01	2.953750000000000000e+02	4.059083333333333485e+03	1.912958333333333258e+03	1.333333333333333393e+01	6.779166666666667140e+01	4.333333333333333570e+01	1.395833333333333393e+01	5.475000000000000000e+01	5.790170833333333576e+04	3.542166666666666515e+03
2.240000000000000000e+02	5.140300000000000000e+04	8.958333333333332860e+01	1.546666666666666572e+02	5.051916666666666970e+03	3.891966666666666424e+04	2.058333333333333215e+01	2.966250000000000000e+02	4.063958333333333485e+03	1.912041666666666742e+03	1.241666666666666607e+01	6.529166666666667140e+01	4.262500000000000000e+01	1.375000000000000000e+01	5.070833333333333570e+01	5.815116666666666424e+04	3.543000000000000000e+03
2.250000000000000000e+02	5.138691666666666424e+04	8.654166666666667140e+01	1.555833333333333428e+02	5.074083333333333030e+03	3.890179166666666424e+04	2.108333333333333215e+01	2.954166666666666856e+02	4.078583333333333485e+03	1.912208333333333258e+03	1.350000000000000000e+01	6.491666666666667140e+01	4.087500000000000000e+01	1.429166666666666607e+01	5.054166666666666430e+01	5.839325000000000000e+04	3.542416666666666515e+03
2.260000000000000000e+02	5.136466666666666424e+04	8.670833333333332860e+01	1.545000000000000000e+02	5.099541666666666970e+03	3.888754166666666424e+04	2.204166666666666785e+01	2.933750000000000000e+02	4.091625000000000000e+03	1.912750000000000000e+03	1.354166666666666607e+01	6.600000000000000000e+01	4.050000000000000000e+01	1.295833333333333393e+01	5.420833333333333570e+01	5.863254166666666424e+04	3.544333333333333485e+03
2.270000000000000000e+02	5.132925000000000000e+04	8.633333333333332860e+01	1.552916666666666572e+02	5.118291666666666970e+03	3.888641666666666424e+04	2.137500000000000000e+01	2.944583333333333144e+02	4.108583333333333030e+03	1.912833333333333258e+03	1.262500000000000000e+01	6.712500000000000000e+01	4.029166666666666430e+01	1.304166666666666607e+01	5.583333333333333570e+01	5.888091666666666424e+04	3.542208333333333485e+03
